method,window,period,date,mae,mse,rank_correlation
oracle_greedy,val_june,validation,2025-06-20,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-21,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-18,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-19,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-20,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-21,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-22,0.0,0.0,0.9999999999999998
oracle_greedy,val_august,validation,2025-08-23,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-24,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-25,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-26,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-27,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-28,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-29,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-30,0.0,0.0,1.0
oracle_greedy,val_august,validation,2025-08-31,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-10,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-11,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-12,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-13,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-14,0.0,0.0,0.9999999999999998
oracle_greedy,eval_september,evaluation,2025-09-15,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-16,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-17,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-18,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-19,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-20,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-21,0.0,0.0,1.0
oracle_greedy,eval_september,evaluation,2025-09-22,0.0,0.0,1.0
